full_name,age,league,season,position,Current Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer
Abdullah Al Huwail,29,Professional League,2013/2014,Forward,Najran,117,80,37,Saudi Arabia,4,1,0,1,0,1,0,0,0,0,0,2,2,0,2,0,2,0,0,0.77,0,0.77,0,2.43,117,1.54,59,29,0,0,0,-1,-1,-1,6
Zakarya Al Hadaf,40,Professional League,2013/2014,Defender,Al Nahdha,663,362,301,Saudi Arabia,9,4,4,0,0,0,0,0,0,0,0,3,1,2,12,9,3,2,0,0,0,0,0,0,0,1.63,55,74,332,0,0.27,202,90,96,19
Younis Mahmoud Khalaf,35,Professional League,2013/2014,Forward,Al Ahli,410,260,150,Iraq,6,3,2,3,1,2,0,0,0,0,0,2,1,1,3,3,0,1,0,0.66,0,0.66,0.35,1.2,137,0.66,137,68,410,0,0.22,8,106,-1,7
Khaled Al Obod,28,Professional League,2013/2014,Midfielder,Al Ittifaq,164,0,164,Saudi Arabia,3,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,2.74,33,55,0,0,0,-1,-1,-1,15
Mohammed Kanoo,24,Professional League,2013/2014,Midfielder,Al Ittifaq,1291,706,585,Saudi Arabia,16,8,6,3,2,1,0,0,0,0,0,4,3,1,21,12,9,3,1,0.21,0,0.21,0.25,0.15,430,1.46,61,81,430,0,0.21,65,87,-1,3
Jamal Ba Jandooh,26,Professional League,2013/2014,Midfielder,Al Ittihad,898,478,420,Saudi Arabia,13,5,4,1,1,0,0,0,0,0,0,1,1,0,18,8,10,0,0,0.1,0,0.1,0.19,0,898,1.8,50,69,0,0,0,102,86,-1,10
Jamaan Al Jamaan,37,Professional League,2013/2014,Defender,Al Ittifaq,1350,720,630,Saudi Arabia,15,8,7,0,0,0,0,0,0,0,0,4,3,1,20,9,11,2,0,0,0,0,0,0,0,1.33,68,90,675,0,0.13,203,85,67,14
Yasser Saeed Al Qahtani,36,Professional League,2013/2014,Forward,Al Hilal,820,520,300,Saudi Arabia,16,6,2,5,3,2,0,0,0,1,0,5,4,1,7,3,4,2,0,0.55,0,0.55,0.52,0.6,164,0.77,117,51,410,0,0.22,14,84,-1,3
Fahad Muqbil Al Rashidi,27,Professional League,2013/2014,Midfielder,Al Orubah,783,369,414,Saudi Arabia,12,5,5,0,0,0,0,0,0,0,0,2,0,2,12,9,3,1,0,0,0,0,0,0,0,1.38,65,65,783,0,0.11,205,83,-1,11
Thamer Al Meshauqeh,27,Professional League,2013/2014,Forward,Al Taawon,171,1,170,Saudi Arabia,7,0,3,0,0,0,0,0,0,0,0,1,0,1,3,0,3,0,0,0,0,0,0,0,0,1.58,57,24,0,0,0,-1,-1,-1,18
