,home_team_name,Result,away_team_name,home_ppg,away_ppg,home_team_shots_on_target,away_team_shots_on_target,home_team_corner_count,away_team_corner_count,HAS,HDS,AAS,ADS
258,Hajer,1,Al Fateh,1.38,0.92,-1,-1,-1,-1,0.17146049157018078,0.44820402298850576,0.7382183908045977,0.8871216737761528
259,Al Faisaly,-1,Al Khaleej,1.15,1.0,-1,-1,-1,-1,0.8051188299817185,0.9491379310344827,0.4218390804597701,0.5218362786918546
260,Al Taawon,-3,Al Ahli,1.23,2.38,-1,-1,-1,-1,1.0884013812715825,0.7997365900383141,1.370977011494253,0.64111314239285
261,Al Ittihad,-1,Al Shabab,2.0,1.54,-1,-1,-1,-1,0.8796668697948405,0.9755028735632184,0.7206417624521072,0.6336583384115377
262,Al Raed,1,Al Shoalah,1.54,0.23,-1,-1,-1,-1,0.6634775543367866,0.9667145593869733,0.18455459770114943,0.3801950030469226
263,Najran,2,Al Orubah,0.85,0.15,-1,-1,-1,-1,0.3652853950842982,0.5360871647509579,0.14940134099616859,0.2832825512898639
264,Al Nassr,1,Al Hilal,2.31,1.77,5,4,0,4,1.0884013812715825,0.5624521072796935,1.2127873563218392,0.4696526508226691
265,Al Shabab,-3,Al Nassr,1.54,2.62,4,5,4,7,0.8349380459069674,0.7821599616858238,1.2391522988505748,0.5889295145236645
266,Al Faisaly,0,Al Shoalah,1.15,0.23,-1,-1,-1,-1,0.8051188299817185,0.9491379310344827,0.18455459770114943,0.3801950030469226
267,Hajer,0,Al Hilal,1.38,1.77,0,6,2,9,0.17146049157018078,0.44820402298850576,1.2127873563218392,0.4696526508226691
268,Al Ahli,0,Al Ittihad,2.23,2.0,-1,-1,-1,-1,1.177859029047329,0.5800287356321838,1.2039990421455937,0.8051188299817185
269,Al Khaleej,-3,Al Taawon,1.23,0.92,3,0,10,2,0.34292098314036157,0.5712404214559387,0.9139846743295018,0.8125736339630306
270,Al Orubah,-1,Al Fateh,1.15,0.92,-1,-1,-1,-1,0.20873451147674185,0.333955938697318,0.7382183908045977,0.8871216737761528
271,Al Raed,1,Najran,1.54,1.0,-1,-1,-1,-1,0.6634775543367866,0.9667145593869733,0.41305076628352494,0.5665651025797278
272,Al Faisaly,0,Al Hilal,1.15,1.77,-1,-1,-1,-1,0.8051188299817185,0.9491379310344827,1.2127873563218392,0.4696526508226691
273,Najran,-4,Al Nassr,0.85,2.62,-1,-1,-1,-1,0.3652853950842982,0.5360871647509579,1.2391522988505748,0.5889295145236645
274,Hajer,-3,Al Ahli,1.38,2.38,-1,-1,-1,-1,0.17146049157018078,0.44820402298850576,1.370977011494253,0.64111314239285
275,Al Khaleej,1,Al Shabab,1.23,1.54,2,2,1,8,0.34292098314036157,0.5712404214559387,0.7206417624521072,0.6336583384115377
276,Al Fateh,0,Al Ittihad,1.62,2.0,0,6,3,8,0.7902092220190942,0.7733716475095785,1.2039990421455937,0.8051188299817185
277,Al Hilal,1,Al Shoalah,2.38,0.23,7,6,4,1,1.2747714808043875,0.5009339080459769,0.18455459770114943,0.3801950030469226
278,Al Raed,1,Al Faisaly,1.54,1.15,-1,-1,-1,-1,0.6634775543367866,0.9667145593869733,0.711853448275862,0.7678448100751574
279,Al Taawon,0,Al Orubah,1.23,0.15,-1,-1,-1,-1,1.0884013812715825,0.7997365900383141,0.14940134099616859,0.2832825512898639
280,Al Faisaly,-3,Al Ittihad,1.15,2.0,-1,-1,-1,-1,0.8051188299817185,0.9491379310344827,1.2039990421455937,0.8051188299817185
281,Al Taawon,2,Hajer,1.23,0.77,-1,-1,-1,-1,1.0884013812715825,0.7997365900383141,0.18455459770114943,0.45474304286004474
282,Al Shabab,0,Al Fateh,1.54,0.92,10,5,8,4,0.8349380459069674,0.7821599616858238,0.7382183908045977,0.8871216737761528
283,Al Shoalah,0,Al Khaleej,1.38,1.0,-1,-1,-1,-1,0.2609181393459273,0.34274425287356325,0.4218390804597701,0.5218362786918546
284,Al Nassr,0,Al Raed,2.31,0.46,20,3,15,4,1.0884013812715825,0.5624521072796935,0.7382183908045977,1.036217753402397
285,Al Orubah,1,Al Hilal,1.15,1.77,-1,-1,-1,-1,0.20873451147674185,0.333955938697318,1.2127873563218392,0.4696526508226691
286,Najran,-1,Al Taawon,0.85,0.92,-1,-1,-1,-1,0.3652853950842982,0.5360871647509579,0.9139846743295018,0.8125736339630306
287,Hajer,0,Al Shabab,1.38,1.54,0,0,6,1,0.17146049157018078,0.44820402298850576,0.7206417624521072,0.6336583384115377
288,Al Faisaly,2,Al Fateh,1.15,0.92,-1,-1,-1,-1,0.8051188299817185,0.9491379310344827,0.7382183908045977,0.8871216737761528
289,Al Ittihad,1,Al Shoalah,2.0,0.23,-1,-1,-1,-1,0.8796668697948405,0.9755028735632184,0.18455459770114943,0.3801950030469226
290,Al Nassr,3,Al Khaleej,2.31,1.0,12,6,12,4,1.0884013812715825,0.5624521072796935,0.4218390804597701,0.5218362786918546
291,Al Raed,1,Al Orubah,1.54,0.15,-1,-1,-1,-1,0.6634775543367866,0.9667145593869733,0.14940134099616859,0.2832825512898639
292,Al Ahli,0,Al Hilal,2.23,1.77,-1,-1,-1,-1,1.177859029047329,0.5800287356321838,1.2127873563218392,0.4696526508226691
293,Al Orubah,-1,Al Ittihad,1.15,2.0,-1,-1,-1,-1,0.20873451147674185,0.333955938697318,1.2039990421455937,0.8051188299817185
294,Najran,-2,Al Hilal,0.85,1.77,-1,-1,-1,-1,0.3652853950842982,0.5360871647509579,1.2127873563218392,0.4696526508226691
295,Al Shoalah,-1,Al Shabab,1.38,1.54,-1,-1,-1,-1,0.2609181393459273,0.34274425287356325,0.7206417624521072,0.6336583384115377
296,Al Fateh,0,Al Nassr,1.62,2.62,-1,-1,-1,-1,0.7902092220190942,0.7733716475095785,1.2391522988505748,0.5889295145236645
297,Al Khaleej,0,Al Ahli,1.23,2.38,-1,-1,-1,-1,0.34292098314036157,0.5712404214559387,1.370977011494253,0.64111314239285
298,Al Taawon,2,Al Raed,1.23,0.46,-1,-1,-1,-1,1.0884013812715825,0.7997365900383141,0.7382183908045977,1.036217753402397
299,Hajer,-2,Al Faisaly,1.38,1.15,-1,-1,-1,-1,0.17146049157018078,0.44820402298850576,0.711853448275862,0.7678448100751574
300,Al Raed,1,Hajer,1.54,0.77,-1,-1,-1,-1,0.6634775543367866,0.9667145593869733,0.18455459770114943,0.45474304286004474
301,Al Faisaly,2,Al Orubah,1.15,0.15,-1,-1,-1,-1,0.8051188299817185,0.9491379310344827,0.14940134099616859,0.2832825512898639
302,Al Ittihad,1,Najran,2.0,1.0,-1,-1,-1,-1,0.8796668697948405,0.9755028735632184,0.41305076628352494,0.5665651025797278
303,Al Fateh,2,Al Taawon,1.62,0.92,-1,-1,-1,-1,0.7902092220190942,0.7733716475095785,0.9139846743295018,0.8125736339630306
304,Al Khaleej,-1,Al Hilal,1.23,1.77,-1,-1,-1,-1,0.34292098314036157,0.5712404214559387,1.2127873563218392,0.4696526508226691
305,Al Nassr,5,Al Shoalah,2.31,0.23,17,4,5,2,1.0884013812715825,0.5624521072796935,0.18455459770114943,0.3801950030469226
